car_full_nm,car_0_60_time_seconds
BMW 6 Series M6 Gran Coupe 4.4 V8 - [2012],4.1
Bentley Continental GT Speed Convertible 6.0 W12 - [2013],4.1
Cadillac CTS -V 6.2 V8 Auto - [2009],4.1
Ferrari F430 4.3 V8 Spider - [2005],4.1
Ford Mustang GT 500 - [2010],4.1
Lamborghini Gallardo LP550-2 Spyder - [2011],4.1
Lotus Exige S 1.8 Supercharged - [2006],4.1
Mercedes CLK 63 AMG Black Series - [2007],4.1
Mercedes E Class 63 AMG - [2013],4.1
Mercedes SL Class 63 AMG Performance Package - [2012],4.1
Mercedes SL Class 65 AMG V12 R230 - [2008],4.1
Porsche 911 Ruf CTR Yellow Bird - [1987],4.1
Porsche 911 Turbo S 996 - [2004],4.1
TVR Chimaera 5.0 - [1993],4.1
TVR Chimaera 500 5.0L V8 - [2001],4.1
TVR Griffith 4.3 - [1992],4.1
TVR Griffith 500 - [1993],4.1
Vauxhall-Opel VXR8 GTS 6.2 V8 - [2013],4.1
AC Cobra 427 - [1966],4.2
Alfa-Romeo 8C Competitzione - [2008],4.2
Aston-Martin DBS V12 2d - [2007],4.2
Audi A8 S8 4.0 V8 Turbo - [2011],4.2
Audi R8 4.2 V8 S-Tronic FSI Quattro - [2012],4.2
Audi R8 6.0 Quattro V12 TDI - [2009],4.2
BMW 3 Series M3 F80 - [2013],4.2
BMW 4 Series M4 - [2013],4.2
BMW 6 Series M6 Cabriolet 4.4 V8 - [2012],4.2
Dodge Challenger SRT-8 6.4 V8 392 - [2010],4.2
Ferrari 575 M Fiorano - [2002],4.2
Jaguar F Type 5.0L V8 S Cabriolet - [2012],4.2
Jaguar XK R-S 5.0 V8 - [2011],4.2
Lamborghini Gallardo 5.0 V10 Spyder - [2005],4.2
Mercedes C Class 63 AMG Coupe Black Series - [2011],4.2
Mercedes C Class 63 AMG Edition 507 - [2013],4.2
Mercedes C Class 63 AMG Edition 507 Coupe - [2013],4.2
Mercedes S Class 65 AMG - [2013],4.2
Mercedes SL Class 63 AMG V8 - [2012],4.2
Morgan Aero Coupe 4.8L V8 - [2011],4.2
Morgan Aeromax 4.8 V8 - [2008],4.2
Porsche 911 Carrera 4 S PDK 991 - [2012],4.2
Porsche 911 Carrera S PDK 991 - [2011],4.2
Porsche 911 GT3 RS 997 - [2006],4.2
Porsche Panamera 4.8 V8 Turbo PDK - [2009],4.2
TVR Tamora 3.6 - [2002],4.2
Alfa-Romeo 8C Competitzione Spider - [2008],4.3
Aston-Martin Vantage 600 - [1998],4.3
Audi R8 4.2 FSI Quattro V8 - [2006],4.3
Audi TT RS+ 2.5 Turbo - [2012],4.3
BMW 3 Series M3 CRT E90 - [2011],4.3
BMW 3 Series M3 E92 GTS - [2010],4.3
BMW 5 Series 550i xDrive F10 - [2013],4.3
BMW i8 Hybrid - [2013],4.3
Bentley Continental GT Speed 2d Auto - [2007],4.3
Bentley Continental V8 S - [2013],4.3
Ferrari 360 Modena F1 - [1999],4.3
Ferrari 550 Maranello - [1997],4.3
Ferrari 612 Scaglietti F1 - [2004],4.3
Lamborghini Gallardo 5.0 V10 - [2003],4.3
Mercedes C Class 63 AMG Edition 507 Estate - [2013],4.3
Mercedes CL Class 65 AMG Bi Turbo - [2003],4.3
Mercedes CLS Class 63 AMG Shooting Brake - [2012],4.3
Mercedes S Class 65 AMG - [2010],4.3
Mitsubishi Lancer Evo IV RS - [1996],4.3
Mitsubishi Lancer Evo VI Tommi Makinen - [2000],4.3
